CUMHURBAÞKANI VE 28.DÖNEM MÝLLETVEKÝLÝ GENEL SEÇÝMÝ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ýl Id;Ýl Adý;Kayýtlý Seçmen Sayýsý;Oy Kullanan Seçmen Sayýsý;Geçerli Oy Toplamý;MÝLLET;HAK-PAR;TKP;TKH;SOL PARTÝ;GENÇPARTÝ;MEMLEKET;BBP;AK PARTÝ;YENÝDEN REFAH;MHP;YEÞÝL SOL PARTÝ;TÝP;AB;ANAP;YP;HKP;MÝLLÝ YOL;VATAN PARTÝSÝ;GBP;CHP;ÝYÝ PARTÝ;AP;ZAFER PARTÝSÝ;SOSYALÝST GÜÇ BÝRLÝÐÝ ÝTTÝFAKI;CUMHUR ÝTTÝFAKI;EMEK VE ÖZGÜRLÜK ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;ATA ÝTTÝFAKI;BAÐIMSIZ TOPLAM OY
;ÝLLER TOPLAMI;60.774.566;53.994.049;52.628.178;51.120;41.207;61.139;16.685;74.034;110.998;487.910;516.628;18.385.421;1.489.554;5.221.469;4.620.970;902.288;38.789;64.593;11.008;31.024;17.477;51.502;25.497;13.250.279;5.161.162;105.225;1.194.221;2.375;284.623;4.557;174.654;4.938;226.831
;Oy Oraný;;;;%0.09;%0.07;%0.11;%0.03;%0.14;%0.21;%0.92;%0.98;%34.93;%2.83;%9.92;%8.78;%1.71;%0.07;%0.12;%0.02;%0.05;%0.03;%0.09;%0.04;%25.17;%9.8;%0.19;%2.26;0%;%0.54;0%;%0.33;0%;%0.43
1;ADANA;1.615.326;1.414.930;1.378.331;1.411;873;1.362;353;2.290;4.092;10.733;12.594;412.978;24.556;149.861;133.770;31.347;1.406;0;0;866;0;1.804;0;392.822;149.935;0;29.480;45;8.594;310;5.823;8;1.018
;Oy Oraný;;;;%0.1;%0.06;%0.09;%0.02;%0.16;%0.29;%0.77;%0.91;%29.96;%1.78;%10.87;%9.7;%2.27;%0.1;0%;0%;%0.06;0%;%0.13;0%;%28.49;%10.87;0%;%2.13;0%;%0.62;%0.02;%0.42;0%;%0.07
2;ADIYAMAN;399.303;327.349;314.939;515;387;428;114;900;334;1.401;3.119;164.067;15.169;12.754;38.042;0;0;0;170;316;0;304;257;58.397;0;0;1.955;21;1.483;0;0;0;14.806
;Oy Oraný;;;;%0.16;%0.12;%0.13;%0.03;%0.28;%0.1;%0.44;%0.99;%52.09;%4.81;%4.04;%12.07;0%;0%;0%;%0.05;%0.1;0%;%0.09;%0.08;%18.54;0%;0%;%0.62;0%;%0.47;0%;0%;0%;%4.7
3;AFYONKARAHÝSAR;536.910;484.075;471.248;831;426;330;118;118;0;3.716;5.145;205.859;14.013;75.657;1.507;1.020;0;0;134;364;0;410;322;86.842;59.015;0;10.604;32;3.230;16;1.538;1;0
;Oy Oraný;;;;%0.17;%0.09;%0.07;%0.02;%0.02;0%;%0.78;%1.09;%43.68;%2.97;%16.05;%0.31;%0.21;0%;0%;%0.02;%0.07;0%;%0.08;%0.06;%18.42;%12.52;0%;%2.25;0%;%0.68;0%;%0.32;0%;0%
4;AÐRI;307.114;223.699;212.257;125;285;281;137;1.342;188;1.557;605;51.895;4.186;4.805;118.684;0;0;0;356;199;0;242;0;22.638;3.466;463;0;20;588;2;133;3;57
;Oy Oraný;;;;%0.05;%0.13;%0.13;%0.06;%0.63;%0.08;%0.73;%0.28;%24.44;%1.97;%2.26;%55.91;0%;0%;0%;%0.16;%0.09;0%;%0.11;0%;%10.66;%1.63;%0.21;0%;0%;%0.27;0%;%0.06;0%;%0.02
68;AKSARAY;296.566;257.662;250.917;377;220;164;54;256;319;1.727;5.304;108.422;6.465;52.466;1.477;628;394;0;108;197;158;271;0;0;63.281;0;3.379;29;2.199;13;2;0;3.007
;Oy Oraný;;;;%0.15;%0.08;%0.06;%0.02;%0.1;%0.12;%0.68;%2.11;%43.21;%2.57;%20.9;%0.58;%0.25;%0.15;0%;%0.04;%0.07;%0.06;%0.1;0%;0%;%25.21;0%;%1.34;%0.01;%0.87;0%;0%;0%;%1.19
5;AMASYA;256.807;236.644;230.956;159;247;135;62;136;224;1.289;1.914;90.021;4.133;38.680;780;845;0;424;51;156;0;152;151;68.337;16.590;742;3.486;8;1.550;6;647;31;0
;Oy Oraný;;;;%0.06;%0.1;%0.05;%0.02;%0.05;%0.09;%0.55;%0.82;%38.97;%1.78;%16.74;%0.33;%0.36;0%;%0.18;%0.02;%0.06;0%;%0.06;%0.06;%29.58;%7.18;%0.32;%1.5;0%;%0.67;0%;%0.28;%0.01;0%
6;ANKARA-1;1.519.161;1.384.165;1.361.329;1.124;459;3.561;552;1.425;2.023;12.973;11.737;327.354;26.453;109.393;53.827;0;1.111;1.810;0;494;623;1.292;778;569.969;179.283;2.525;41.141;73;5.382;37;5.201;167;562
